N,anchor,hub_edges,hub_cost,weighting,metric,rank,node,is_prime,observed,null_mean,null_sd,null_min,null_max,z,p_empirical,null_degenerate,n_null_samples,pivots
1000,2,True,0.1,padic,eigenvector,14,43,True,0.04839947401669049,0.04850871334949604,0.0004906015142155531,0.04730668090025849,0.04969485246851244,-0.2226640759154998,0.8,False,100,200
1000,2,True,0.1,padic,eigenvector,15,47,True,0.04824148208606179,0.04816545894859778,0.0004176245038534258,0.04710136373742059,0.04920766705856367,0.18203706143327464,0.86,False,100,200
1000,2,True,0.1,padic,eigenvector,16,53,True,0.047982840857066056,0.04792248961793248,0.00042663762433349024,0.04696826666756571,0.049059376846569164,0.14145784546741844,0.84,False,100,200
1000,2,True,0.1,padic,eigenvector,17,59,True,0.04780914272062606,0.04773754892280462,0.00043137038421853225,0.046593268650761195,0.048987437743700575,0.16596827329983377,0.96,False,100,200
1000,2,True,0.1,padic,eigenvector,18,61,True,0.04780914272062602,0.047667527618682606,0.00038486247606070575,0.04664368180319855,0.04868353666220786,0.367962871810551,0.6,False,100,200
1000,2,True,0.1,padic,eigenvector,19,67,True,0.04745744801436887,0.0474860995420636,0.00036495787302758106,0.04645950006823279,0.048328570878904006,-0.07850639707270164,1.0,False,100,200
1000,2,True,0.1,padic,eigenvector,20,71,True,0.04745744801436886,0.04749971937640022,0.0003936435644124883,0.04666466972938303,0.04874066471680451,-0.10738486756272174,0.94,False,100,200
1000,2,True,0.1,padic,eigenvector_costweight,1,2,True,0.520856214580574,0.5301449236514425,0.0021896375309137022,0.5256983971025683,0.5357244090839143,-4.242121784874774,0.0,False,100,200
1000,2,True,0.1,padic,eigenvector_costweight,2,3,True,0.3718728367284351,0.3751381308663648,0.00615298226807967,0.36111152032787097,0.3904540568645966,-0.5306847957078199,0.5,False,100,200
1000,2,True,0.1,padic,eigenvector_costweight,3,5,True,0.21482983703532257,0.2057370635868945,0.007882141248832757,0.19114672115851544,0.2279367686493342,1.153591792049465,0.24,False,100,200
1000,2,True,0.1,padic,eigenvector_costweight,4,7,True,0.14653386287801565,0.13438925975513022,0.00685623130637795,0.11900526177684961,0.153722486524337,1.7713234253908459,0.1,False,100,200
