N,anchor,hub_edges,hub_cost,weighting,metric,rank,node,is_prime,observed,null_mean,null_sd,null_min,null_max,z,p_empirical,null_degenerate,n_null_samples,pivots
31623,2,False,0.1,padic,eigenvector,5,11,True,0.04165245177225979,0.0387909325869167,0.0007826776184696868,0.03694581419342314,0.040737342953701,3.6560636433401665,0.0,False,100,
31623,2,False,0.1,padic,eigenvector,6,13,True,0.03462374137172392,0.03193359589124556,0.0006624615501905797,0.029885490365750625,0.033666433271674276,4.0608326320289,0.0,False,100,
31623,2,False,0.1,padic,eigenvector,7,17,True,0.02585062012182008,0.023791144406010233,0.0005301293356457492,0.02276286442646672,0.02515275091036421,3.8848552180218405,0.0,False,100,
31623,2,False,0.1,padic,eigenvector,8,19,True,0.022950572650437633,0.020975694629795504,0.0006068513848104538,0.019235669391542726,0.02266070285724527,3.254302569086115,0.0,False,100,
31623,2,False,0.1,padic,eigenvector,9,16384,False,0.022099883330435666,0.0015602416589557302,0.0020744574535929454,0.0,0.008902866693677892,9.901211343672257,0.0,False,100,
31623,2,False,0.1,padic,eigenvector,10,24576,False,0.021681956165330397,0.0029221152573849383,0.0026400120420614448,2.975167102363086e-07,0.01041196914677921,7.105967930849626,0.0,False,100,
31623,2,False,0.1,padic,eigenvector,11,8192,False,0.020626557775073284,0.0015865480093857456,0.0019105862224648997,5.842113112577154e-09,0.00889764369431783,9.965532851547259,0.0,False,100,
31623,2,False,0.1,padic,eigenvector,12,12288,False,0.020208630609968015,0.0028641667451531263,0.0026100919930805264,7.960107711802836e-06,0.012034643065789108,6.645154236247556,0.0,False,100,
31623,2,False,0.1,padic,eigenvector,13,20480,False,0.01964049616987906,0.0024621595115686744,0.002452949933853159,6.57744709017988e-06,0.01056296232657978,7.003133827247013,0.0,False,100,
31623,2,False,0.1,padic,eigenvector,14,28672,False,0.019471966632701697,0.002589463828343561,0.002719954441234176,8.074652183491146e-07,0.014853246330563605,6.206906464469208,0.0,False,100,
31623,2,False,0.1,padic,eigenvector,15,18432,False,0.019263004249734195,0.0031433770763507852,0.002965388221779091,2.4637018099364406e-06,0.01944939857567498,5.435924731538998,0.02,False,100,
31623,2,False,0.1,padic,eigenvector,16,30720,False,0.019222569004773794,0.003272355877565891,0.0024272844203294167,2.2301263003033504e-05,0.012329649942613144,6.571217197959534,0.0,False,100,
31623,2,False,0.1,padic,eigenvector,17,4096,False,0.019153232219710912,0.0020825894783565264,0.0029842445492511095,7.378443209535592e-08,0.011877095410354775,5.720255984261823,0.0,False,100,
31623,2,False,0.1,padic,eigenvector,18,6144,False,0.01873530505460564,0.0028664517113109137,0.002773259355002264,1.3603823298485389e-06,0.013321886132107547,5.722094947474458,0.0,False,100,
31623,2,False,0.1,padic,eigenvector,19,23,True,0.018696975988442412,0.017211568803236477,0.0004203599957674533,0.016200031426544494,0.01839454794744796,3.533654962799263,0.0,False,100,
