node,is_prime,degree,degree_weighted,eigenvector,eigenvector_costweight,pagerank,betweenness,p_index,N,anchor,hub_edges,hub_cost,weighting
19,True,52.0,61.0,0.054979114845664874,0.04066589099124877,0.00904606151762048,0.020719115909496624,0.05263157894736842,1000,2,True,0.1,uniform
23,True,43.0,52.0,0.054712756062359064,0.032990652147313476,0.007671861416969,0.017736507382465943,0.043478260869565216,1000,2,True,0.1,uniform
29,True,34.0,43.0,0.0544810817752945,0.026253692262775328,0.006297813538762161,0.013666304915469886,0.034482758620689655,1000,2,True,0.1,uniform
31,True,32.0,41.0,0.054423972069889116,0.024588860615323706,0.006007355774950284,0.013200240989152115,0.03225806451612903,1000,2,True,0.1,uniform
37,True,27.0,36.0,0.05427248102994615,0.02077769315085766,0.005143881845630549,0.010150430992114367,0.02702702702702703,1000,2,True,0.1,uniform
41,True,24.0,33.0,0.05421207851984877,0.018923057920306966,0.004649270779838129,0.008626863336282193,0.024390243902439025,1000,2,True,0.1,uniform
43,True,23.0,32.0,0.05416457859607675,0.017510600847421218,0.004509665036331078,0.008605800188966556,0.023255813953488372,1000,2,True,0.1,uniform
47,True,21.0,30.0,0.05411118599818894,0.016443859463600746,0.004195581445086004,0.007615497929459215,0.02127659574468085,1000,2,True,0.1,uniform
53,True,18.0,27.0,0.05404755194391409,0.014470862740654835,0.0037295781256123325,0.006240709647523245,0.018867924528301886,1000,2,True,0.1,uniform
59,True,16.0,25.0,0.05399377666815575,0.01298954463090759,0.0034156575116492498,0.005274145220704993,0.01694915254237288,1000,2,True,0.1,uniform
61,True,16.0,25.0,0.05399377666815579,0.012989544643922086,0.0034156575116492498,0.005274145220704998,0.01639344262295082,1000,2,True,0.1,uniform
67,True,14.0,23.0,0.053939786308738275,0.011308630330861423,0.003107338122564511,0.004892333883649849,0.014925373134328358,1000,2,True,0.1,uniform
71,True,14.0,23.0,0.05393978630873825,0.011308630340061002,0.003107338122564511,0.004892333883649849,0.014084507042253521,1000,2,True,0.1,uniform
73,True,13.0,22.0,0.05389263271190313,0.010265936242601413,0.0029684855457851166,0.004880297799469476,0.0136986301369863,1000,2,True,0.1,uniform
79,True,12.0,21.0,0.053886310264875774,0.010159632597648892,0.0027952732918013305,0.00394950728952065,0.012658227848101266,1000,2,True,0.1,uniform
83,True,12.0,21.0,0.053886310264875774,0.010159632597516224,0.0027952732918013305,0.00394950728952065,0.012048192771084338,1000,2,True,0.1,uniform
89,True,11.0,20.0,0.05383886204217274,0.008785655505812562,0.002656272772339491,0.003939811555042016,0.011235955056179775,1000,2,True,0.1,uniform
97,True,10.0,19.0,0.05383252100646741,0.00866318892259534,0.002483975564284708,0.0030240661503186557,0.010309278350515464,1000,2,True,0.1,uniform
101,True,9.0,18.0,0.05378529168090991,0.007538380348597748,0.0023455423136345232,0.0030160420941984073,0.009900990099009901,1000,2,True,0.1,uniform
103,True,9.0,18.0,0.05378529168090994,0.007538380342530493,0.0023455423136345232,0.0030160420941984073,0.009708737864077669,1000,2,True,0.1,uniform
107,True,9.0,18.0,0.05378529168090992,0.007538380346338206,0.0023455423136345232,0.0030160420941984073,0.009345794392523364,1000,2,True,0.1,uniform
